date,actual,forecast
2016-05-13 19:00:00,208.33333333333337,197.56529
2016-05-13 20:00:00,120.0,188.1561
2016-05-13 21:00:00,63.333333333333336,128.43144
2016-05-13 22:00:00,55.0,79.4979
2016-05-13 23:00:00,61.666666666666664,55.53441
2016-05-14 00:00:00,58.333333333333336,65.15179
2016-05-14 01:00:00,63.333333333333336,65.97967
2016-05-14 02:00:00,60.0,65.82446
2016-05-14 03:00:00,60.0,67.12884
2016-05-14 04:00:00,60.0,64.9863
2016-05-14 05:00:00,56.666666666666664,67.56783
2016-05-14 06:00:00,63.333333333333336,86.94573
2016-05-14 07:00:00,113.33333333333331,127.28975
2016-05-14 08:00:00,133.33333333333334,151.44957
2016-05-14 09:00:00,118.33333333333331,144.46272
2016-05-14 10:00:00,158.33333333333334,137.40407
2016-05-14 11:00:00,96.66666666666669,151.30882
2016-05-14 12:00:00,116.66666666666669,122.68519
2016-05-14 13:00:00,113.33333333333331,124.32398
2016-05-14 14:00:00,106.66666666666669,130.66937
2016-05-14 15:00:00,130.0,112.54876
2016-05-14 16:00:00,111.66666666666669,166.41978
2016-05-14 17:00:00,241.66666666666663,190.43999
2016-05-14 18:00:00,166.66666666666666,207.49208
