,forecast,lower,upper
2016-05-13 19:00:00,202.75911080507302,82.71379161897075,322.8044299911753
2016-05-13 20:00:00,178.44249882720783,50.78344889806314,306.1015487563525
2016-05-13 21:00:00,123.24609882327326,-11.673056054700055,258.16525370124657
2016-05-13 22:00:00,93.69248216018428,-44.06814054618536,231.45310486655393
2016-05-13 23:00:00,79.57801968293631,-59.633008589884184,218.7890479557568
2016-05-14 00:00:00,69.98059702169124,-70.21616097775637,210.17735502113885
2016-05-14 01:00:00,64.71391237392271,-75.95857741449595,205.38640216234137
2016-05-14 02:00:00,60.61850158657894,-80.26993933368328,201.50694250684114
2016-05-14 03:00:00,57.20423824262837,-83.78518314923369,198.19365963449044
2016-05-14 04:00:00,55.5760737600745,-85.4600033589204,196.61215087906942
2016-05-14 05:00:00,63.61289772052221,-77.44486268357905,204.67065812462346
2016-05-14 06:00:00,74.33374369158487,-66.73407031645628,215.40155769962604
2016-05-14 07:00:00,102.17051573479512,-38.90196512743228,243.2429965970225
2016-05-14 08:00:00,120.92538705725667,-20.14925914354177,262.0000332580551
2016-05-14 09:00:00,106.45665883777009,-34.618992274114916,247.5323099496551
2016-05-14 10:00:00,113.4031937810078,-27.672923657335858,254.47931121935147
2016-05-14 11:00:00,123.27775876130738,-17.798575084562145,264.3540926071769
2016-05-14 12:00:00,115.57274929569866,-25.503684976349774,256.64918356774706
2016-05-14 13:00:00,108.85523796229734,-32.22124291393965,249.93171883853432
2016-05-14 14:00:00,106.49283789650983,-34.583664606830155,247.5693403998498
2016-05-14 15:00:00,98.75832504045621,-42.3181874965324,239.83483757744483
2016-05-14 16:00:00,130.86343936287656,-10.21307782659997,271.9399565523531
2016-05-14 17:00:00,183.73201529215743,42.65549612666308,324.8085344576518
2016-05-14 18:00:00,180.64858621763548,39.572066049652335,321.72510638561863
