date,actual,forecast,lower_90,upper_90
2016-05-13 19:00:00,208.33333333333337,126.99512,101.629,347.45996
2016-05-13 20:00:00,120.0,94.75284,61.852547,346.24265
2016-05-13 21:00:00,63.333333333333336,71.72263,55.272488,337.65567
2016-05-13 22:00:00,55.0,63.168556,51.982456,337.62277
2016-05-13 23:00:00,61.666666666666664,58.56252,50.008442,339.7284
2016-05-14 00:00:00,58.333333333333336,56.9175,50.008442,338.54398
2016-05-14 01:00:00,63.333333333333336,56.588497,50.008442,339.07037
2016-05-14 02:00:00,60.0,56.588497,50.008442,338.97168
2016-05-14 03:00:00,60.0,56.588497,50.008442,334.33276
2016-05-14 04:00:00,60.0,56.588497,50.008442,333.87216
2016-05-14 05:00:00,56.666666666666664,56.588497,50.008442,336.27386
2016-05-14 06:00:00,63.333333333333336,58.56252,50.008442,336.04355
2016-05-14 07:00:00,113.33333333333331,58.56252,50.008442,338.41235
2016-05-14 08:00:00,133.33333333333334,59.220524,49.90974,339.59677
2016-05-14 09:00:00,118.33333333333331,59.87853,50.008442,338.873
2016-05-14 10:00:00,158.33333333333334,56.588497,50.008442,343.51193
2016-05-14 11:00:00,96.66666666666669,56.9175,50.008442,341.6695
2016-05-14 12:00:00,116.66666666666669,58.56252,50.008442,342.19592
2016-05-14 13:00:00,113.33333333333331,56.588497,50.008442,344.26862
2016-05-14 14:00:00,106.66666666666669,56.588497,50.008442,343.51193
2016-05-14 15:00:00,130.0,59.87853,50.008442,344.26862
2016-05-14 16:00:00,111.66666666666669,63.49756,51.982456,348.24957
2016-05-14 17:00:00,241.66666666666663,88.83078,50.008442,353.34912
2016-05-14 18:00:00,166.66666666666666,87.51477,50.008442,352.8556
